[2026-03-30T01:29:48.704Z] SERVER STARTING...
[2026-03-30T01:29:48.884Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T01:29:48.885Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:53.590Z] SERVER STARTING...
[2026-03-30T04:59:53.716Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T04:59:53.716Z] [Mount] User API Routes -> /api
[2026-03-30T05:06:04.091Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:06:06.479Z] [REQUEST] GET /api/auth/google | Auth: NO | Guest: NO
[2026-03-30T05:06:06.480Z] [Auth] Google Login requested from: http://localhost:8081/
[2026-03-30T05:06:06.481Z] [Auth] Generated OAuth URL: https://stfonaiuxavzbqwikcqb.supabase.co/auth/v1/a...
[2026-03-30T05:06:10.771Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:06:10.838Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:06:10.841Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.149Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:06:11.373Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.374Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.376Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.376Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.377Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.379Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.380Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.380Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.381Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.382Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.383Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.401Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:06:11.458Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
